load3,load2,load1,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13
720,360,240,460,390,460,360,240,460,390,240,460,390
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
665,332.5,221.6666667,432.5,371.6666667,432.5,332.5,221.6666667,432.5,371.6666667,221.6666667,432.5,371.6666667
660,330,220,430,370,430,330,220,430,370,220,430,370
615,307.5,205,407.5,355,407.5,307.5,205,407.5,355,205,407.5,355
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
575,287.5,191.6666667,387.5,341.6666667,387.5,287.5,191.6666667,387.5,341.6666667,191.6666667,387.5,341.6666667
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
595,297.5,198.3333333,397.5,348.3333333,397.5,297.5,198.3333333,397.5,348.3333333,198.3333333,397.5,348.3333333
610,305,203.3333333,405,353.3333333,405,305,203.3333333,405,353.3333333,203.3333333,405,353.3333333
665,332.5,221.6666667,432.5,371.6666667,432.5,332.5,221.6666667,432.5,371.6666667,221.6666667,432.5,371.6666667
720,360,240,460,390,460,360,240,460,390,240,460,390
720,360,240,460,390,460,360,240,460,390,240,460,390
720,360,240,460,390,460,360,240,460,390,240,460,390
735,367.5,245,467.5,395,467.5,367.5,245,467.5,395,245,467.5,395
750,375,250,475,400,475,375,250,475,400,250,475,400
720,360,240,460,390,460,360,240,460,390,240,460,390
690,345,230,445,380,445,345,230,445,380,230,445,380
645,322.5,215,422.5,365,422.5,322.5,215,422.5,365,215,422.5,365
600,300,200,400,350,400,300,200,400,350,200,400,350
590,295,196.6666667,395,346.6666667,395,295,196.6666667,395,346.6666667,196.6666667,395,346.6666667
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
610,305,203.3333333,405,353.3333333,405,305,203.3333333,405,353.3333333,203.3333333,405,353.3333333
640,320,213.3333333,420,363.3333333,420,320,213.3333333,420,363.3333333,213.3333333,420,363.3333333
2550,1275,850,1375,1000,1375,1275,850,1375,1000,850,1375,1000
4460,2230,1486.666667,2330,1636.666667,2330,2230,1486.666667,2330,1636.666667,1486.666667,2330,1636.666667
5060,2530,1686.666667,2630,1836.666667,2630,2530,1686.666667,2630,1836.666667,1686.666667,2630,1836.666667
5660,2830,1886.666667,2930,2036.666667,2930,2830,1886.666667,2930,2036.666667,1886.666667,2930,2036.666667
5060,2530,1686.666667,2630,1836.666667,2630,2530,1686.666667,2630,1836.666667,1686.666667,2630,1836.666667
4460,2230,1486.666667,2330,1636.666667,2330,2230,1486.666667,2330,1636.666667,1486.666667,2330,1636.666667
2645,1322.5,881.6666667,1422.5,1031.666667,1422.5,1322.5,881.6666667,1422.5,1031.666667,881.6666667,1422.5,1031.666667
830,415,276.6666667,515,426.6666667,515,415,276.6666667,515,426.6666667,276.6666667,515,426.6666667
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
810,405,270,505,420,505,405,270,505,420,270,505,420
810,405,270,505,420,505,405,270,505,420,270,505,420
810,405,270,505,420,505,405,270,505,420,270,505,420
840,420,280,520,430,520,420,280,520,430,280,520,430
870,435,290,535,440,535,435,290,535,440,290,535,440
915,457.5,305,557.5,455,557.5,457.5,305,557.5,455,305,557.5,455
960,480,320,580,470,580,480,320,580,470,320,580,470
830,415,276.6666667,515,426.6666667,515,415,276.6666667,515,426.6666667,276.6666667,515,426.6666667
700,350,233.3333333,450,383.3333333,450,350,233.3333333,450,383.3333333,233.3333333,450,383.3333333
685,342.5,228.3333333,442.5,378.3333333,442.5,342.5,228.3333333,442.5,378.3333333,228.3333333,442.5,378.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
655,327.5,218.3333333,427.5,368.3333333,427.5,327.5,218.3333333,427.5,368.3333333,218.3333333,427.5,368.3333333
640,320,213.3333333,420,363.3333333,420,320,213.3333333,420,363.3333333,213.3333333,420,363.3333333
605,302.5,201.6666667,402.5,351.6666667,402.5,302.5,201.6666667,402.5,351.6666667,201.6666667,402.5,351.6666667
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
575,287.5,191.6666667,387.5,341.6666667,387.5,287.5,191.6666667,387.5,341.6666667,191.6666667,387.5,341.6666667
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
585,292.5,195,392.5,345,392.5,292.5,195,392.5,345,195,392.5,345
590,295,196.6666667,395,346.6666667,395,295,196.6666667,395,346.6666667,196.6666667,395,346.6666667
610,305,203.3333333,405,353.3333333,405,305,203.3333333,405,353.3333333,203.3333333,405,353.3333333
630,315,210,415,360,415,315,210,415,360,210,415,360
600,300,200,400,350,400,300,200,400,350,200,400,350
570,285,190,385,340,385,285,190,385,340,190,385,340
590,295,196.6666667,395,346.6666667,395,295,196.6666667,395,346.6666667,196.6666667,395,346.6666667
610,305,203.3333333,405,353.3333333,405,305,203.3333333,405,353.3333333,203.3333333,405,353.3333333
650,325,216.6666667,425,366.6666667,425,325,216.6666667,425,366.6666667,216.6666667,425,366.6666667
690,345,230,445,380,445,345,230,445,380,230,445,380
690,345,230,445,380,445,345,230,445,380,230,445,380
690,345,230,445,380,445,345,230,445,380,230,445,380
690,345,230,445,380,445,345,230,445,380,230,445,380
690,345,230,445,380,445,345,230,445,380,230,445,380
705,352.5,235,452.5,385,452.5,352.5,235,452.5,385,235,452.5,385
720,360,240,460,390,460,360,240,460,390,240,460,390
775,387.5,258.3333333,487.5,408.3333333,487.5,387.5,258.3333333,487.5,408.3333333,258.3333333,487.5,408.3333333
830,415,276.6666667,515,426.6666667,515,415,276.6666667,515,426.6666667,276.6666667,515,426.6666667
825,412.5,275,512.5,425,512.5,412.5,275,512.5,425,275,512.5,425
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
815,407.5,271.6666667,507.5,421.6666667,507.5,407.5,271.6666667,507.5,421.6666667,271.6666667,507.5,421.6666667
810,405,270,505,420,505,405,270,505,420,270,505,420
755,377.5,251.6666667,477.5,401.6666667,477.5,377.5,251.6666667,477.5,401.6666667,251.6666667,477.5,401.6666667
700,350,233.3333333,450,383.3333333,450,350,233.3333333,450,383.3333333,233.3333333,450,383.3333333
2410,1205,803.3333333,1305,953.3333333,1305,1205,803.3333333,1305,953.3333333,803.3333333,1305,953.3333333
4120,2060,1373.333333,2160,1523.333333,2160,2060,1373.333333,2160,1523.333333,1373.333333,2160,1523.333333
6095,3047.5,2031.666667,3147.5,2181.666667,3147.5,3047.5,2031.666667,3147.5,2181.666667,2031.666667,3147.5,2181.666667
8070,4035,2690,4135,2840,4135,4035,2690,4135,2840,2690,4135,2840
8095,4047.5,2698.333333,4147.5,2848.333333,4147.5,4047.5,2698.333333,4147.5,2848.333333,2698.333333,4147.5,2848.333333
8120,4060,2706.666667,4160,2856.666667,4160,4060,2706.666667,4160,2856.666667,2706.666667,4160,2856.666667
6265,3132.5,2088.333333,3232.5,2238.333333,3232.5,3132.5,2088.333333,3232.5,2238.333333,2088.333333,3232.5,2238.333333
4410,2205,1470,2305,1620,2305,2205,1470,2305,1620,1470,2305,1620
3805,1902.5,1268.333333,2002.5,1418.333333,2002.5,1902.5,1268.333333,2002.5,1418.333333,1268.333333,2002.5,1418.333333
3200,1600,1066.666667,1700,1216.666667,1700,1600,1066.666667,1700,1216.666667,1066.666667,1700,1216.666667
3210,1605,1070,1705,1220,1705,1605,1070,1705,1220,1070,1705,1220
3220,1610,1073.333333,1710,1223.333333,1710,1610,1073.333333,1710,1223.333333,1073.333333,1710,1223.333333
3220,1610,1073.333333,1710,1223.333333,1710,1610,1073.333333,1710,1223.333333,1073.333333,1710,1223.333333
3220,1610,1073.333333,1710,1223.333333,1710,1610,1073.333333,1710,1223.333333,1073.333333,1710,1223.333333
3215,1607.5,1071.666667,1707.5,1221.666667,1707.5,1607.5,1071.666667,1707.5,1221.666667,1071.666667,1707.5,1221.666667
3210,1605,1070,1705,1220,1705,1605,1070,1705,1220,1070,1705,1220
3205,1602.5,1068.333333,1702.5,1218.333333,1702.5,1602.5,1068.333333,1702.5,1218.333333,1068.333333,1702.5,1218.333333
3200,1600,1066.666667,1700,1216.666667,1700,1600,1066.666667,1700,1216.666667,1066.666667,1700,1216.666667
3200,1600,1066.666667,1700,1216.666667,1700,1600,1066.666667,1700,1216.666667,1066.666667,1700,1216.666667
3200,1600,1066.666667,1700,1216.666667,1700,1600,1066.666667,1700,1216.666667,1066.666667,1700,1216.666667
3205,1602.5,1068.333333,1702.5,1218.333333,1702.5,1602.5,1068.333333,1702.5,1218.333333,1068.333333,1702.5,1218.333333
3210,1605,1070,1705,1220,1705,1605,1070,1705,1220,1070,1705,1220
3185,1592.5,1061.666667,1692.5,1211.666667,1692.5,1592.5,1061.666667,1692.5,1211.666667,1061.666667,1692.5,1211.666667
3160,1580,1053.333333,1680,1203.333333,1680,1580,1053.333333,1680,1203.333333,1053.333333,1680,1203.333333
3140,1570,1046.666667,1670,1196.666667,1670,1570,1046.666667,1670,1196.666667,1046.666667,1670,1196.666667
3120,1560,1040,1660,1190,1660,1560,1040,1660,1190,1040,1660,1190
3120,1560,1040,1660,1190,1660,1560,1040,1660,1190,1040,1660,1190
3120,1560,1040,1660,1190,1660,1560,1040,1660,1190,1040,1660,1190
3180,1590,1060,1690,1210,1690,1590,1060,1690,1210,1060,1690,1210
3240,1620,1080,1720,1230,1720,1620,1080,1720,1230,1080,1720,1230
3245,1622.5,1081.666667,1722.5,1231.666667,1722.5,1622.5,1081.666667,1722.5,1231.666667,1081.666667,1722.5,1231.666667
3250,1625,1083.333333,1725,1233.333333,1725,1625,1083.333333,1725,1233.333333,1083.333333,1725,1233.333333
3270,1635,1090,1735,1240,1735,1635,1090,1735,1240,1090,1735,1240
3290,1645,1096.666667,1745,1246.666667,1745,1645,1096.666667,1745,1246.666667,1096.666667,1745,1246.666667
3270,1635,1090,1735,1240,1735,1635,1090,1735,1240,1090,1735,1240
3250,1625,1083.333333,1725,1233.333333,1725,1625,1083.333333,1725,1233.333333,1083.333333,1725,1233.333333
3245,1622.5,1081.666667,1722.5,1231.666667,1722.5,1622.5,1081.666667,1722.5,1231.666667,1081.666667,1722.5,1231.666667
3240,1620,1080,1720,1230,1720,1620,1080,1720,1230,1080,1720,1230
3365,1682.5,1121.666667,1782.5,1271.666667,1782.5,1682.5,1121.666667,1782.5,1271.666667,1121.666667,1782.5,1271.666667
3490,1745,1163.333333,1845,1313.333333,1845,1745,1163.333333,1845,1313.333333,1163.333333,1845,1313.333333
3900,1950,1300,2050,1450,2050,1950,1300,2050,1450,1300,2050,1450
4310,2155,1436.666667,2255,1586.666667,2255,2155,1436.666667,2255,1586.666667,1436.666667,2255,1586.666667
3965,1982.5,1321.666667,2082.5,1471.666667,2082.5,1982.5,1321.666667,2082.5,1471.666667,1321.666667,2082.5,1471.666667
3620,1810,1206.666667,1910,1356.666667,1910,1810,1206.666667,1910,1356.666667,1206.666667,1910,1356.666667
8310,4155,2770,4255,2920,4255,4155,2770,4255,2920,2770,4255,2920
13000,6500,4333.333333,6600,4483.333333,6600,6500,4333.333333,6600,4483.333333,4333.333333,6600,4483.333333
12850,6425,4283.333333,6525,4433.333333,6525,6425,4283.333333,6525,4433.333333,4283.333333,6525,4433.333333
12700,6350,4233.333333,6450,4383.333333,6450,6350,4233.333333,6450,4383.333333,4233.333333,6450,4383.333333
12885,6442.5,4295,6542.5,4445,6542.5,6442.5,4295,6542.5,4445,4295,6542.5,4445
13070,6535,4356.666667,6635,4506.666667,6635,6535,4356.666667,6635,4506.666667,4356.666667,6635,4506.666667
13610,6805,4536.666667,6905,4686.666667,6905,6805,4536.666667,6905,4686.666667,4536.666667,6905,4686.666667
14150,7075,4716.666667,7175,4866.666667,7175,7075,4716.666667,7175,4866.666667,4716.666667,7175,4866.666667
14990,7495,4996.666667,7595,5146.666667,7595,7495,4996.666667,7595,5146.666667,4996.666667,7595,5146.666667
15830,7915,5276.666667,8015,5426.666667,8015,7915,5276.666667,8015,5426.666667,5276.666667,8015,5426.666667
15870,7935,5290,8035,5440,8035,7935,5290,8035,5440,5290,8035,5440
15910,7955,5303.333333,8055,5453.333333,8055,7955,5303.333333,8055,5453.333333,5303.333333,8055,5453.333333
15850,7925,5283.333333,8025,5433.333333,8025,7925,5283.333333,8025,5433.333333,5283.333333,8025,5433.333333
15790,7895,5263.333333,7995,5413.333333,7995,7895,5263.333333,7995,5413.333333,5263.333333,7995,5413.333333
14365,7182.5,4788.333333,7282.5,4938.333333,7282.5,7182.5,4788.333333,7282.5,4938.333333,4788.333333,7282.5,4938.333333
12940,6470,4313.333333,6570,4463.333333,6570,6470,4313.333333,6570,4463.333333,4313.333333,6570,4463.333333
13455,6727.5,4485,6827.5,4635,6827.5,6727.5,4485,6827.5,4635,4485,6827.5,4635
13970,6985,4656.666667,7085,4806.666667,7085,6985,4656.666667,7085,4806.666667,4656.666667,7085,4806.666667
13975,6987.5,4658.333333,7087.5,4808.333333,7087.5,6987.5,4658.333333,7087.5,4808.333333,4658.333333,7087.5,4808.333333
13980,6990,4660,7090,4810,7090,6990,4660,7090,4810,4660,7090,4810
13460,6730,4486.666667,6830,4636.666667,6830,6730,4486.666667,6830,4636.666667,4486.666667,6830,4636.666667
12940,6470,4313.333333,6570,4463.333333,6570,6470,4313.333333,6570,4463.333333,4313.333333,6570,4463.333333
14480,7240,4826.666667,7340,4976.666667,7340,7240,4826.666667,7340,4976.666667,4826.666667,7340,4976.666667
16020,8010,5340,8110,5490,8110,8010,5340,8110,5490,5340,8110,5490
16775,8387.5,5591.666667,8487.5,5741.666667,8487.5,8387.5,5591.666667,8487.5,5741.666667,5591.666667,8487.5,5741.666667
17530,8765,5843.333333,8865,5993.333333,8865,8765,5843.333333,8865,5993.333333,5843.333333,8865,5993.333333
16845,8422.5,5615,8522.5,5765,8522.5,8422.5,5615,8522.5,5765,5615,8522.5,5765
16160,8080,5386.666667,8180,5536.666667,8180,8080,5386.666667,8180,5536.666667,5386.666667,8180,5536.666667
14760,7380,4920,7480,5070,7480,7380,4920,7480,5070,4920,7480,5070
13360,6680,4453.333333,6780,4603.333333,6780,6680,4453.333333,6780,4603.333333,4453.333333,6780,4603.333333
13060,6530,4353.333333,6630,4503.333333,6630,6530,4353.333333,6630,4503.333333,4353.333333,6630,4503.333333
12760,6380,4253.333333,6480,4403.333333,6480,6380,4253.333333,6480,4403.333333,4253.333333,6480,4403.333333
12775,6387.5,4258.333333,6487.5,4408.333333,6487.5,6387.5,4258.333333,6487.5,4408.333333,4258.333333,6487.5,4408.333333
12790,6395,4263.333333,6495,4413.333333,6495,6395,4263.333333,6495,4413.333333,4263.333333,6495,4413.333333
12790,6395,4263.333333,6495,4413.333333,6495,6395,4263.333333,6495,4413.333333,4263.333333,6495,4413.333333
12790,6395,4263.333333,6495,4413.333333,6495,6395,4263.333333,6495,4413.333333,4263.333333,6495,4413.333333
12730,6365,4243.333333,6465,4393.333333,6465,6365,4243.333333,6465,4393.333333,4243.333333,6465,4393.333333
12670,6335,4223.333333,6435,4373.333333,6435,6335,4223.333333,6435,4373.333333,4223.333333,6435,4373.333333
12660,6330,4220,6430,4370,6430,6330,4220,6430,4370,4220,6430,4370
12650,6325,4216.666667,6425,4366.666667,6425,6325,4216.666667,6425,4366.666667,4216.666667,6425,4366.666667
12610,6305,4203.333333,6405,4353.333333,6405,6305,4203.333333,6405,4353.333333,4203.333333,6405,4353.333333
12570,6285,4190,6385,4340,6385,6285,4190,6385,4340,4190,6385,4340
12580,6290,4193.333333,6390,4343.333333,6390,6290,4193.333333,6390,4343.333333,4193.333333,6390,4343.333333
12590,6295,4196.666667,6395,4346.666667,6395,6295,4196.666667,6395,4346.666667,4196.666667,6395,4346.666667
12635,6317.5,4211.666667,6417.5,4361.666667,6417.5,6317.5,4211.666667,6417.5,4361.666667,4211.666667,6417.5,4361.666667
12680,6340,4226.666667,6440,4376.666667,6440,6340,4226.666667,6440,4376.666667,4226.666667,6440,4376.666667
12670,6335,4223.333333,6435,4373.333333,6435,6335,4223.333333,6435,4373.333333,4223.333333,6435,4373.333333
12660,6330,4220,6430,4370,6430,6330,4220,6430,4370,4220,6430,4370
12680,6340,4226.666667,6440,4376.666667,6440,6340,4226.666667,6440,4376.666667,4226.666667,6440,4376.666667
12700,6350,4233.333333,6450,4383.333333,6450,6350,4233.333333,6450,4383.333333,4233.333333,6450,4383.333333
12755,6377.5,4251.666667,6477.5,4401.666667,6477.5,6377.5,4251.666667,6477.5,4401.666667,4251.666667,6477.5,4401.666667
12810,6405,4270,6505,4420,6505,6405,4270,6505,4420,4270,6505,4420
12725,6362.5,4241.666667,6462.5,4391.666667,6462.5,6362.5,4241.666667,6462.5,4391.666667,4241.666667,6462.5,4391.666667
12640,6320,4213.333333,6420,4363.333333,6420,6320,4213.333333,6420,4363.333333,4213.333333,6420,4363.333333
12775,6387.5,4258.333333,6487.5,4408.333333,6487.5,6387.5,4258.333333,6487.5,4408.333333,4258.333333,6487.5,4408.333333
12910,6455,4303.333333,6555,4453.333333,6555,6455,4303.333333,6555,4453.333333,4303.333333,6555,4453.333333
13075,6537.5,4358.333333,6637.5,4508.333333,6637.5,6537.5,4358.333333,6637.5,4508.333333,4358.333333,6637.5,4508.333333
13240,6620,4413.333333,6720,4563.333333,6720,6620,4413.333333,6720,4563.333333,4413.333333,6720,4563.333333
14430,7215,4810,7315,4960,7315,7215,4810,7315,4960,4810,7315,4960
15620,7810,5206.666667,7910,5356.666667,7910,7810,5206.666667,7910,5356.666667,5206.666667,7910,5356.666667
16165,8082.5,5388.333333,8182.5,5538.333333,8182.5,8082.5,5388.333333,8182.5,5538.333333,5388.333333,8182.5,5538.333333
16710,8355,5570,8455,5720,8455,8355,5570,8455,5720,5570,8455,5720
16925,8462.5,5641.666667,8562.5,5791.666667,8562.5,8462.5,5641.666667,8562.5,5791.666667,5641.666667,8562.5,5791.666667
17140,8570,5713.333333,8670,5863.333333,8670,8570,5713.333333,8670,5863.333333,5713.333333,8670,5863.333333
17115,8557.5,5705,8657.5,5855,8657.5,8557.5,5705,8657.5,5855,5705,8657.5,5855
17090,8545,5696.666667,8645,5846.666667,8645,8545,5696.666667,8645,5846.666667,5696.666667,8645,5846.666667
15430,7715,5143.333333,7815,5293.333333,7815,7715,5143.333333,7815,5293.333333,5143.333333,7815,5293.333333
13770,6885,4590,6985,4740,6985,6885,4590,6985,4740,4590,6985,4740
9340,4670,3113.333333,4770,3263.333333,4770,4670,3113.333333,4770,3263.333333,3113.333333,4770,3263.333333
4910,2455,1636.666667,2555,1786.666667,2555,2455,1636.666667,2555,1786.666667,1636.666667,2555,1786.666667
4390,2195,1463.333333,2295,1613.333333,2295,2195,1463.333333,2295,1613.333333,1463.333333,2295,1613.333333
3870,1935,1290,2035,1440,2035,1935,1290,2035,1440,1290,2035,1440
2390,1195,796.6666667,1295,946.6666667,1295,1195,796.6666667,1295,946.6666667,796.6666667,1295,946.6666667
910,455,303.3333333,555,453.3333333,555,455,303.3333333,555,453.3333333,303.3333333,555,453.3333333
865,432.5,288.3333333,532.5,438.3333333,532.5,432.5,288.3333333,532.5,438.3333333,288.3333333,532.5,438.3333333
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
865,432.5,288.3333333,532.5,438.3333333,532.5,432.5,288.3333333,532.5,438.3333333,288.3333333,532.5,438.3333333
910,455,303.3333333,555,453.3333333,555,455,303.3333333,555,453.3333333,303.3333333,555,453.3333333
920,460,306.6666667,560,456.6666667,560,460,306.6666667,560,456.6666667,306.6666667,560,456.6666667
930,465,310,565,460,565,465,310,565,460,310,565,460
880,440,293.3333333,540,443.3333333,540,440,293.3333333,540,443.3333333,293.3333333,540,443.3333333
830,415,276.6666667,515,426.6666667,515,415,276.6666667,515,426.6666667,276.6666667,515,426.6666667
755,377.5,251.6666667,477.5,401.6666667,477.5,377.5,251.6666667,477.5,401.6666667,251.6666667,477.5,401.6666667
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
865,432.5,288.3333333,532.5,438.3333333,532.5,432.5,288.3333333,532.5,438.3333333,288.3333333,532.5,438.3333333
1050,525,350,625,500,625,525,350,625,500,350,625,500
1045,522.5,348.3333333,622.5,498.3333333,622.5,522.5,348.3333333,622.5,498.3333333,348.3333333,622.5,498.3333333
1040,520,346.6666667,620,496.6666667,620,520,346.6666667,620,496.6666667,346.6666667,620,496.6666667
3605,1802.5,1201.666667,1902.5,1351.666667,1902.5,1802.5,1201.666667,1902.5,1351.666667,1201.666667,1902.5,1351.666667
6170,3085,2056.666667,3185,2206.666667,3185,3085,2056.666667,3185,2206.666667,2056.666667,3185,2206.666667
6050,3025,2016.666667,3125,2166.666667,3125,3025,2016.666667,3125,2166.666667,2016.666667,3125,2166.666667
5930,2965,1976.666667,3065,2126.666667,3065,2965,1976.666667,3065,2126.666667,1976.666667,3065,2126.666667
4100,2050,1366.666667,2150,1516.666667,2150,2050,1366.666667,2150,1516.666667,1366.666667,2150,1516.666667
2270,1135,756.6666667,1235,906.6666667,1235,1135,756.6666667,1235,906.6666667,756.6666667,1235,906.6666667
1745,872.5,581.6666667,972.5,731.6666667,972.5,872.5,581.6666667,972.5,731.6666667,581.6666667,972.5,731.6666667
1220,610,406.6666667,710,556.6666667,710,610,406.6666667,710,556.6666667,406.6666667,710,556.6666667
1115,557.5,371.6666667,657.5,521.6666667,657.5,557.5,371.6666667,657.5,521.6666667,371.6666667,657.5,521.6666667
1010,505,336.6666667,605,486.6666667,605,505,336.6666667,605,486.6666667,336.6666667,605,486.6666667
1080,540,360,640,510,640,540,360,640,510,360,640,510
1150,575,383.3333333,675,533.3333333,675,575,383.3333333,675,533.3333333,383.3333333,675,533.3333333
1175,587.5,391.6666667,687.5,541.6666667,687.5,587.5,391.6666667,687.5,541.6666667,391.6666667,687.5,541.6666667
1200,600,400,700,550,700,600,400,700,550,400,700,550
975,487.5,325,587.5,475,587.5,487.5,325,587.5,475,325,587.5,475
750,375,250,475,400,475,375,250,475,400,250,475,400
725,362.5,241.6666667,462.5,391.6666667,462.5,362.5,241.6666667,462.5,391.6666667,241.6666667,462.5,391.6666667
700,350,233.3333333,450,383.3333333,450,350,233.3333333,450,383.3333333,233.3333333,450,383.3333333
750,375,250,475,400,475,375,250,475,400,250,475,400
800,400,266.6666667,500,416.6666667,500,400,266.6666667,500,416.6666667,266.6666667,500,416.6666667
775,387.5,258.3333333,487.5,408.3333333,487.5,387.5,258.3333333,487.5,408.3333333,258.3333333,487.5,408.3333333
750,375,250,475,400,475,375,250,475,400,250,475,400
910,455,303.3333333,555,453.3333333,555,455,303.3333333,555,453.3333333,303.3333333,555,453.3333333
1070,535,356.6666667,635,506.6666667,635,535,356.6666667,635,506.6666667,356.6666667,635,506.6666667
965,482.5,321.6666667,582.5,471.6666667,582.5,482.5,321.6666667,582.5,471.6666667,321.6666667,582.5,471.6666667
860,430,286.6666667,530,436.6666667,530,430,286.6666667,530,436.6666667,286.6666667,530,436.6666667
855,427.5,285,527.5,435,527.5,427.5,285,527.5,435,285,527.5,435
850,425,283.3333333,525,433.3333333,525,425,283.3333333,525,433.3333333,283.3333333,525,433.3333333
850,425,283.3333333,525,433.3333333,525,425,283.3333333,525,433.3333333,283.3333333,525,433.3333333
850,425,283.3333333,525,433.3333333,525,425,283.3333333,525,433.3333333,283.3333333,525,433.3333333
915,457.5,305,557.5,455,557.5,457.5,305,557.5,455,305,557.5,455
980,490,326.6666667,590,476.6666667,590,490,326.6666667,590,476.6666667,326.6666667,590,476.6666667
905,452.5,301.6666667,552.5,451.6666667,552.5,452.5,301.6666667,552.5,451.6666667,301.6666667,552.5,451.6666667
830,415,276.6666667,515,426.6666667,515,415,276.6666667,515,426.6666667,276.6666667,515,426.6666667
785,392.5,261.6666667,492.5,411.6666667,492.5,392.5,261.6666667,492.5,411.6666667,261.6666667,492.5,411.6666667
740,370,246.6666667,470,396.6666667,470,370,246.6666667,470,396.6666667,246.6666667,470,396.6666667
690,345,230,445,380,445,345,230,445,380,230,445,380
640,320,213.3333333,420,363.3333333,420,320,213.3333333,420,363.3333333,213.3333333,420,363.3333333
615,307.5,205,407.5,355,407.5,307.5,205,407.5,355,205,407.5,355
590,295,196.6666667,395,346.6666667,395,295,196.6666667,395,346.6666667,196.6666667,395,346.6666667
595,297.5,198.3333333,397.5,348.3333333,397.5,297.5,198.3333333,397.5,348.3333333,198.3333333,397.5,348.3333333
600,300,200,400,350,400,300,200,400,350,200,400,350
575,287.5,191.6666667,387.5,341.6666667,387.5,287.5,191.6666667,387.5,341.6666667,191.6666667,387.5,341.6666667
550,275,183.3333333,375,333.3333333,375,275,183.3333333,375,333.3333333,183.3333333,375,333.3333333
595,297.5,198.3333333,397.5,348.3333333,397.5,297.5,198.3333333,397.5,348.3333333,198.3333333,397.5,348.3333333
640,320,213.3333333,420,363.3333333,420,320,213.3333333,420,363.3333333,213.3333333,420,363.3333333
630,315,210,415,360,415,315,210,415,360,210,415,360
620,310,206.6666667,410,356.6666667,410,310,206.6666667,410,356.6666667,206.6666667,410,356.6666667
620,310,206.6666667,410,356.6666667,410,310,206.6666667,410,356.6666667,206.6666667,410,356.6666667
620,310,206.6666667,410,356.6666667,410,310,206.6666667,410,356.6666667,206.6666667,410,356.6666667
3150,1575,1050,1675,1200,1675,1575,1050,1675,1200,1050,1675,1200
5680,2840,1893.333333,2940,2043.333333,2940,2840,1893.333333,2940,2043.333333,1893.333333,2940,2043.333333
5660,2830,1886.666667,2930,2036.666667,2930,2830,1886.666667,2930,2036.666667,1886.666667,2930,2036.666667
5640,2820,1880,2920,2030,2920,2820,1880,2920,2030,1880,2920,2030
